,evtype,std_name
348,SNOW/BLOWING SNOW,HEAVY SNOW
349,TORNADOES,TORNADO
350,THUNDERSTORM WIND/HAIL,THUNDERSTORM WIND
351,HAIL 175,HAIL
352,HAIL 275,HAIL
353,HAIL 450,HAIL
354,HAILSTORM,HAIL
355,TSTM WINDS,MARINE THUNDERSTORM WIND
356,TSTMW,MARINE THUNDERSTORM WIND
357,TSTM WIND 65),MARINE THUNDERSTORM WIND
358,TROPICAL STORM DEAN,TROPICAL STORM
359,THUNDERSTORM WINDS/ FLOOD,THUNDERSTORM WIND
360,THUNDERSTORMWINDS,THUNDERSTORM WIND
361,WILD/FOREST FIRES,WILDFIRE
362,HAIL DAMAGE,HAIL
363,?,OTHER
364,THUNDERSTROM WIND,THUNDERSTORM WIND
365,FLOOD/FLASHFLOOD,FLOOD
366,URBAN/SMALL STREAM,FLOOD
367,HEAVY SHOWER,HEAVY RAIN
368,HEAVY SWELLS,HIGH SURF
369,URBAN SMALL,FLOOD
370,URBAN FLOODS,FLOOD
371,FLASH FLOOD/LANDSLIDE,FLASH FLOOD
372,HEAVY RAIN/SMALL STREAM URBAN,HEAVY RAIN
373,FLASH FLOOD LANDSLIDES,FLASH FLOOD
374,ICE JAM FLOOD (MINOR,FLOOD
375,EROSION/CSTL FLOOD,FLOOD
376,DAMAGING FREEZE,FROST/FREEZE
377,BEACH EROSION,COASTAL FLOOD
378,HEAVY RAIN/HIGH SURF,HEAVY RAIN
379,UNSEASONABLE COLD,COLD/WIND CHILL
380,EARLY FROST,FROST/FREEZE
381,LANDSLUMP,DEBRIS FLOW
382,DOWNBURST,MICROBURST
383,MICROBURST,MICROBURST
384,WIND DAMAGE,HIGH WIND
385,LIGHT SNOWFALL,WINTER WEATHER
386,GUSTY WIND/RAIN,HIGH WIND
387,GUSTY WIND/HVY RAIN,HIGH WIND
388,TSTM WIND 40,MARINE THUNDERSTORM WIND
389,TSTM WIND 45,MARINE THUNDERSTORM WIND
390,TSTM WIND (41),MARINE THUNDERSTORM WIND
391,AGRICULTURAL FREEZE,FROST/FREEZE
392,LAKE EFFECT SNOW,LAKE-EFFECT SNOW
393,MIXED PRECIPITATION,HEAVY RAIN
394,DAM BREAK,OTHER
395,GRADIENT WIND,HIGH WIND
396,TSTM WIND AND LIGHTNING,MARINE THUNDERSTORM WIND
397,GRADIENT WIND,HIGH WIND
398,GRADIENT WIND,HIGH WIND
399,WET MICROBURST,MICROBURST
400,UNSEASONAL RAIN,HEAVY RAIN
401,TSTM WIND (G45),MARINE THUNDERSTORM WIND
402,TSTM WIND  (G45),MARINE THUNDERSTORM WIND
403,HIGH WIND (G40),HIGH G40)
404,COASTAL EROSION,COASTAL FLOOD
405,COASTAL  FLOODING/EROSION,FLOOD
406,ROCK SLIDE,HIGH SLIDE
407,GUSTY WIND/HAIL,HIGH HAIL
408,TSTM WIND,MARINE THUNDERSTORM WIND
409,LANDSPOUT,HIGH LANDSPOUT
410,LAKE EFFECT SNOW,HIGH SNOW
411,FLOOD/FLASH/FLOOD,FLOOD
412,MIXED PRECIPITATION,HEAVY RAIN
413,WIND AND WAVE,HIGH SURF
414,LIGHT FREEZING RAIN,SLEET
415,TSTM WIND G45,MARINE THUNDERSTORM WIND
416,FLASH FLOOD,FLASH FLOOD
417,LATE SEASON SNOW,HIGH SNOW
418,NON-TSTM WIND,HIGH WIND
419,BLOWING DUST,DUST DEVIL
420,HIGH SURF ADVISORY,HIGH SURF
421,ASTRONOMICAL HIGH TIDE,STORM SURGE/TIDE
422,ASTRONOMICAL LOW TIDE,ASTRONOMICAL LOW TIDE
423,AVALANCHE,AVALANCHE
424,BLIZZARD,BLIZZARD
425,COASTAL FLOOD,COASTAL FLOOD
426,COLD/WIND CHILL,COLD/WIND CHILL
427,DEBRIS FLOW,DEBRIS FLOW
428,DENSE FOG,DENSE FOG
429,DENSE SMOKE,DENSE SMOKE
430,DROUGHT,DROUGHT
431,DUST DEVIL,DUST DEVIL
432,DUST STORM,DUST STORM
433,EXCESSIVE HEAT,EXCESSIVE HEAT
434,EXTREME COLD/WIND CHILL,EXTREME COLD/WIND CHILL
435,FLASH FLOOD,FLASH FLOOD
436,FLOOD,FLOOD
437,FROST/FREEZE,FROST/FREEZE
438,FUNNEL CLOUD,FUNNEL CLOUD
439,FREEZING FOG,FREEZING FOG
440,HAIL,HAIL
441,HEAT,HEAT
442,HEAVY RAIN,HEAVY RAIN
443,HEAVY SNOW,HEAVY SNOW
444,HIGH SURF,HIGH SURF
445,HIGH WIND,HIGH WIND
446,HURRICANE (TYPHOON),HURRICANE (TYPHOON)
447,ICE STORM,ICE STORM
448,LAKE-EFFECT SNOW,LAKE-EFFECT SNOW
449,LAKESHORE FLOOD,LAKESHORE FLOOD
450,LIGHTNING,LIGHTNING
451,MARINE HAIL,MARINE HAIL
452,MARINE HIGH WIND,MARINE HIGH WIND
453,MARINE STRONG WIND,MARINE STRONG WIND
454,MARINE THUNDERSTORM WIND,MARINE THUNDERSTORM WIND
455,RIP CURRENT,RIP CURRENT
456,SEICHE,SEICHE
457,SLEET,SLEET
458,STORM SURGE/TIDE,STORM SURGE/TIDE
459,STRONG WIND,STRONG WIND
460,THUNDERSTORM WIND,THUNDERSTORM WIND
461,TORNADO,TORNADO
462,TROPICAL DEPRESSION,TROPICAL DEPRESSION
463,TROPICAL STORM,TROPICAL STORM
464,TSUNAMI,TSUNAMI
465,VOLCANIC ASH,VOLCANIC ASH
466,WATERSPOUT,WATERSPOUT
467,WILDFIRE,WILDFIRE
468,WINTER STORM,WINTER STORM
469,WINTER WEATHER,WINTER WEATHER
